Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
333,00:00:13.889,6.176440972222221,3.405503472222222,7.873836805555555,7.249982638888889
334,00:00:13.931,6.368709490740741,3.6961458333333335,8.038038194444445,7.371944444444445
335,00:00:13.972,3.9647511574074077,2.317204861111111,5.141892361111111,4.43515625
336,00:00:14.014,3.8354803240740742,2.1903645833333334,5.068107638888889,4.24796875
337,00:00:14.056,4.629270833333334,2.6544618055555556,6.260954861111111,4.972395833333334
338,00:00:14.097,4.394606481481482,2.5086458333333335,5.838211805555556,4.836961805555555
339,00:00:14.139,3.374068287037037,1.9601388888888889,4.310868055555556,3.8511979166666666
340,00:00:14.181,2.500040509259259,1.3776909722222221,3.2688888888888887,2.8535416666666666
341,00:00:14.223,42.41685185185185,36.92321180555555,47.240642361111114,43.08670138888889
342,00:00:14.264,3.5282638888888886,1.7385243055555555,3.495642361111111,5.350625
343,00:00:14.306,3.425653935185185,1.8476909722222221,3.3377083333333335,5.0915625
344,00:00:14.348,3.4065451388888888,2.075434027777778,3.133767361111111,5.0104340277777775
345,00:00:14.389,3.0893171296296296,1.9958680555555555,2.9286979166666667,4.343385416666667
346,00:00:14.431,2.9487673611111114,1.9348090277777779,2.6694444444444443,4.2420486111111115
347,00:00:14.473,2.7438599537037036,1.7771006944444445,2.490642361111111,3.9638368055555557
348,00:00:14.514,2.5775520833333334,1.6523090277777779,2.3677256944444443,3.712621527777778
349,00:00:14.556,2.6469270833333334,1.6771354166666668,2.5160590277777777,3.7475868055555557
350,00:00:14.598,2.8930150462962962,1.9292708333333333,2.765833333333333,3.9839409722222223
351,00:00:14.640,3.319097222222222,2.154704861111111,3.284947916666667,4.5176388888888885
352,00:00:14.681,4.00355324074074,2.7639930555555554,4.099149305555556,5.147517361111111
353,00:00:14.723,3.8135879629629628,2.6704166666666667,3.930295138888889,4.840052083333333
354,00:00:14.765,3.9868229166666667,2.800295138888889,4.251597222222222,4.908576388888889
355,00:00:14.806,4.215584490740741,3.0721006944444444,4.330086805555555,5.244565972222222
356,00:00:14.848,4.0519791666666665,2.929496527777778,4.2053125,5.021128472222222
357,00:00:14.890,3.953026620370371,2.730138888888889,4.077916666666667,5.051024305555556
358,00:00:14.932,3.8036805555555553,2.7193055555555556,3.792760416666667,4.898975694444444
359,00:00:14.973,3.6476678240740745,2.5742534722222223,3.5419270833333334,4.826822916666667
360,00:00:15.015,4.073946759259259,2.9474305555555556,3.7816666666666667,5.492743055555556
361,00:00:15.057,4.537922453703703,3.103107638888889,4.248177083333333,6.262482638888889
362,00:00:15.098,5.35072337962963,3.569496527777778,5.106961805555556,7.3757118055555555
363,00:00:15.140,5.921325231481482,3.8912673611111113,6.085677083333334,7.78703125
364,00:00:15.182,6.426689814814814,4.242135416666667,6.520572916666667,8.51736111111111
365,00:00:15.224,6.376076388888889,3.8666666666666667,6.561961805555556,8.699600694444445
366,00:00:15.265,6.57056712962963,3.8028298611111113,6.5056770833333335,9.403194444444445
367,00:00:15.307,6.718483796296296,3.680902777777778,6.68359375,9.79095486111111
368,00:00:15.349,36.57889467592593,12.13642361111111,49.048298611111115,48.55196180555556
369,00:00:15.390,2.5852083333333336,0.7460069444444445,2.4942361111111113,4.515381944444444
370,00:00:15.432,2.714577546296296,0.6649826388888889,2.8143576388888887,4.664392361111111
371,00:00:15.474,2.9947395833333332,0.99828125,2.75765625,5.22828125
372,00:00:15.515,2.880954861111111,0.8060243055555556,2.9361979166666665,4.900642361111111
373,00:00:15.557,2.84,0.8718229166666667,2.6390625,5.009114583333333
374,00:00:15.599,2.3137557870370373,0.70875,2.1774305555555555,4.055086805555556
375,00:00:15.641,2.4782407407407407,0.8941493055555556,2.144375,4.396197916666667
376,00:00:15.682,2.4567766203703703,0.7845138888888888,2.29109375,4.294722222222222
377,00:00:15.724,2.469282407407407,0.8969444444444444,2.080798611111111,4.430104166666666
378,00:00:15.766,2.1194907407407406,0.6865104166666667,1.8999479166666666,3.772013888888889
